ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
MA,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,55 – 59 anos,NAO,NAO,N,ELEITO
CE,MASCULINO,LÊ E ESCREVE,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,ELEITO
PE,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,45 – 49 anos,NAO,NAO,N,ELEITO
PI,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,25 – 29 anos,NAO,SIM,N,ELEITO
AL,FEMININO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
BA,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
MA,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
PB,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,45 – 49 anos,SIM,SIM,N,NÃO ELEITO
PE,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,25 – 29 anos,NAO,NAO,N,NÃO ELEITO
CE,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,55 – 59 anos,SIM,NAO,N,NÃO ELEITO
BA,FEMININO,ENSINO MÉDIO COMPLETO,VIÚVO(A),PARDA,55 – 59 anos,SIM,NAO,N,NÃO ELEITO
PB,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
CE,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
RN,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,30 – 34 anos,NAO,SIM,N,NÃO ELEITO
MA,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,35 – 39 anos,SIM,NAO,N,NÃO ELEITO
CE,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
RN,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,55 – 59 anos,SIM,NAO,N,NÃO ELEITO
CE,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,30 – 34 anos,SIM,NAO,S,ELEITO
BA,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
