ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
GO,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
GO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,SIM,NAO,N,NÃO ELEITO
GO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
GO,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),PRETA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
GO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,SIM,NAO,N,NÃO ELEITO
GO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
GO,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
GO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,30 – 34 anos,NAO,NAO,N,NÃO ELEITO
GO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
MS,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
MT,FEMININO,SUPERIOR COMPLETO,CASADO(A),PRETA,40 – 44 anos,SIM,NAO,N,NÃO ELEITO
GO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
GO,FEMININO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,35 – 39 anos,SIM,SIM,N,NÃO ELEITO
