ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
RJ,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,NÃO ELEITO
MG,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
MG,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
MG,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,NAO,N,NÃO ELEITO
MG,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,75 anos ou superior,NAO,NAO,N,ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,65 – 69 anos,NAO,NAO,N,NÃO ELEITO
MG,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,40 – 44 anos,SIM,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,SIM,N,ELEITO
MG,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
RJ,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
RJ,FEMININO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,SIM,SIM,N,ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,SIM,NAO,N,ELEITO
SP,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR INCOMPLETO,SEPARADO(A) JUDICIALMENTE,BRANCA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
MG,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,40 – 44 anos,SIM,SIM,N,NÃO ELEITO
MG,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,30 – 34 anos,NAO,NAO,N,NÃO ELEITO
MG,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,35 – 39 anos,SIM,NAO,N,ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,25 – 29 anos,NAO,NAO,N,NÃO ELEITO
RJ,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,NAO,N,ELEITO
SP,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,NAO,N,NÃO ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,50 – 54 anos,SIM,NAO,N,NÃO ELEITO
RJ,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
SP,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
MG,FEMININO,ENSINO MÉDIO COMPLETO,VIÚVO(A),BRANCA,60 – 64 anos,SIM,NAO,N,ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
