ANO_ELEICAO,ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,IDADE,FAIXA_ETARIA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
2020,BA,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,45.0,40 – 49 ANOS,45 – 49 ANOS,SIM,NAO,N,ELEITO
2020,RN,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,DIVORCIADO(A),BRANCA,58.0,50 – 59 ANOS,55 – 59 ANOS,NAO,NAO,N,NÃO ELEITO
2020,PE,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,53.0,50 – 59 ANOS,50 – 54 ANOS,SIM,NAO,N,ELEITO
2020,PE,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35.0,30 – 39 ANOS,35 – 39 ANOS,NAO,NAO,N,ELEITO
2020,MA,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,46.0,40 – 49 ANOS,45 – 49 ANOS,NAO,SIM,N,NÃO ELEITO
2020,GO,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,22.0,ATÉ 29 ANOS,18 – 24 ANOS,SIM,NAO,N,NÃO ELEITO
2020,MG,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,58.0,50 – 59 ANOS,55 – 59 ANOS,SIM,NAO,N,ELEITO
2020,SC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,43.0,40 – 49 ANOS,40 – 44 ANOS,SIM,NAO,N,ELEITO
2020,MT,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55.0,50 – 59 ANOS,55 – 59 ANOS,NAO,NAO,N,NÃO ELEITO
2020,RJ,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,65.0,60 OU SUPERIOR,65 – 69 ANOS,SIM,NAO,N,NÃO ELEITO
2020,AM,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,51.0,50 – 59 ANOS,50 – 54 ANOS,SIM,NAO,N,NÃO ELEITO
